item_code,description,unit_price,volume_per_unit,weight_per_unit
19EPX120,19 mm thick epoxy worktop 1200 mm wide(Black colour),1361.0,0.4,0
19EPX150,19mm thick epoxy worktop 1500mm wide(Black colour),1361.0,0.5,0
19EPX60,19mm thick epoxy worktop 600mm wide(Black colour),3066.0,0.2,0
19EPX60BS,19mm thick epoxy worktop 600mm wide with back splash(Black colour),3066.0,0.2,0
19EPX75,19mm thick epoxyworktop 750mm wide(Black colour),1361.0,0.25,0
19EPX75BS,19mm thick epoxyworktop 750mm wide with back splash(Black colour),1361.0,0.25,0
19EPX90,19mm thick epoxy worktop 900 mm wide(Black colour),3066.0,0.25,0
19EPX90BS,19mm thick epoxy worktop 900 mm wide with back splash(Black colour),3066.0,0.25,0
19EPXCOR60,19mm thick epoxy corner worktop(Black colour),1361.0,0.5,0
19EPXCOR75,19mm thick epoxy corner worktop(Black colour),1361.0,0.6,0
19EPXCOR90,19mm thick epoxy corner worktop(Black colour),3066.0,0.7,0
19EPXOCT150-150,19 mm thick epoxy octagonal worktop 1500 mm wide(Black colour),1361.0,0.5,0
20GRT80,20 (±1)mm thick granite worktop 800mm wide with backsplash,1363.0,8.76,0
24MEL090SP,24mm thick melamine laminated worktop 900mm wide  special,3677.0,0.5,0
24MEL100,24mm thick melamine laminated plywood worktop 1000 mm wide,752.0,0.5,0
24MEL100BS,24mm thick melamine laminated plywood worktop 1000 mm wide,752.0,0.5,0
24MEL100SP,24mm thick melamine laminated worktop 1000mm wide  special,752.0,0.5,0
24MEL120,24 mm thick melamine laminated plywood worktop 1200 mm wide,752.0,0.5,0
24MEL120SP,24mm thick melamine laminated worktop 1200mm wide  special,752.0,0.5,0
24MEL150,24 mm thick melamine laminated plywood worktop with 1500 mm wide,752.0,0.9,0
24MEL30,24mm thick melamine laminated plywood worktop 300mm wide,752.0,0.1,0
24MEL40,24mm thick melamine laminated plywood worktop 400mm wide,752.0,0.2,0
24MEL40BS,24mm thick melamine laminated plywood worktop 400mm wide with back splash,752.0,0.2,0
24MEL45,24mm thick melamine laminated plywood worktop 450mm wide,752.0,0.2,0
24MEL45BS,24mm thick melamine laminated plywood worktop 450mm wide with back splash,752.0,0.2,0
24MEL60,24mm thick melamine laminated plywood worktop 600mm wide,752.0,0.21,0
24MEL60BS,24mm thick melamine laminated plywood worktop 600mm wide with back splash,752.0,0.25,0
24MEL70,24mm thick melamine laminated plywood worktop 700mm wide,752.0,0.25,0
24MEL70BS,24mm thick melamine laminated plywood worktop 700mm wide with back splash,752.0,0.25,0
24MEL75,24mm thick melamine laminated plywood worktop 750mm wide,752.0,0.5,0
24MEL75BS,24mm thick melamine laminated plywood worktop 750mm wide with back splash,752.0,0.55,0
24MEL80,24mm thick melamine laminated worktop 800mm wide,752.0,0.5,0
24MEL80BS,24mm thick melamine laminated worktop 800mm wide with back splash,752.0,0.5,0
24MEL90,24mm thick melamine laminated worktop 900mm wide,752.0,0.5,0
24MEL90BS,24mm thick melamine laminated worktop 900mm wide with back splash,752.0,0.5,0
60EP45,electrical panel 45A,0.0,0.0,0.0
61CWDD,cold water drop down,0.0,0.0,0.0
61CWSO,cold water standout,0.0,0.0,0.0
61DISO,distilled water standout,0.0,0.0,0.0
61HWDD,hot water drop down,0.0,0.0,0.0
