481,18MEL150,18mm thick melamine laminated plywood worktop 1500mm wide,BLOCK,"752,762,757,1480,759","0.83,1.5,1.125,2.5,0.02","1,2,3,4,5"
3685,18MEL40BS,18mm thick melamine laminated plywood  worktop 400mm wide with back splash,BLOCK,"752,762,757,1480,759,1395","0.25,0.5,0.375,1.6,0.01,0.15","1,2,3,4,5,6"
3648,18MEL45,18mm thick melamine laminated plywood  worktop 450mm wide,BLOCK,"752,762,757,1480,759,1395","0.25,0.5,0.375,1.6,0.01,0.15","1,2,3,4,5,6"
3741,18MEL45BS,18mm thick melamine laminated plywood  worktop 450mm wide  with back splash,BLOCK,"752,762,757,1480,759,1395","0.25,0.5,0.375,1.6,0.01,0.15","1,2,3,4,5,6"
477,18MEL60,18mm thick melamine laminated plywood  worktop 600mm wide,BLOCK,"752,762,757,1480,759,1395","0.25,0.5,0.375,1.6,0.01,0.15","1,2,3,4,5,6"
3385,18MEL60BS,18mm thick melamine laminated plywood  worktop 600mm wide with back splash,BLOCK,"752,762,757,1480,759,1395","0.25,0.5,0.375,1.6,0.01,0.15","1,2,3,4,5,6"
3387,18MEL70,18mm thick melamine laminated plywood worktop 700mm wide,BLOCK,"752,762,757,1480,759,1395","0.42,0.84,0.63,1.75,0.01,0.15","1,2,3,4,5,6"
3388,18MEL70BS,18mm thick melamine laminated plywood worktop 700mm wide with back splash,BLOCK,"752,762,757,1480,759,1395","0.42,0.84,0.63,1.75,0.01,0.15","1,2,3,4,5,6"
478,18MEL75,18mm thick melamine laminated plywood worktop 750mm wide,BLOCK,"752,762,757,1480,759,1395","0.42,0.84,0.63,1.75,0.01,0.15","1,2,3,4,5,6"
3386,18MEL75BS,18mm thick melamine laminated plywood worktop 750mm wide with back splash,BLOCK,"752,762,757,1480,759,1395","0.42,0.84,0.63,1.75,0.01,0.15","1,2,3,4,5,6"
479,18MEL80,18mm thick melamine laminated plywood worktop 800mm wide,BLOCK,"752,762,757,1480,759,1395","0.42,0.84,0.63,1.9,0.01,0.15","1,2,3,4,5,6"
3389,18MEL80BS,18mm thick melamine laminated plywood worktop 800mm wide with back splash,BLOCK,"752,762,757,1480,759,1395","0.42,0.84,0.63,1.9,0.01,0.15","1,2,3,4,5,6"
2890,18MEL90,18mm thick melamine laminated plywood worktop 900mm wide,BLOCK,"752,762,757,1480,759,1395","0.42,0.84,0.63,1.9,0.01,0.15","1,2,3,4,5,6"
3390,18MEL90BS,18mm thick melamine laminated plywood worktop 900mm wide with back splash,BLOCK,"752,762,757,1480,759,1395","0.42,0.84,0.63,1.9,0.01,0.15","1,2,3,4,5,6"
3630,18MELCOR60,18mm thick melamine corner worktop,BLOCK,"1362,1395","0.5,0.3","1,2"
3629,18MELCOR60BS,18mm thick melamine corner worktop with back splash,BLOCK,"1362,1395","0.5,0.3","1,2"
3628,18MELCOR75,18mm thick melamine corner worktop,BLOCK,"1362,1395","0.5,0.3","1,2"
3627,18MELCOR75BS,18mm thick melamine corner worktop with back splash,BLOCK,"1362,1395","0.5,0.3","1,2"
3626,18MELCOR90,18mm thick melamine corner worktop,BLOCK,"1362,1395","0.5,0.3","1,2"
3625,18MELCOR90BS,18mm thick melamine corner worktop with back splash,BLOCK,"1362,1395","0.5,0.3","1,2"
628,19EPX120,19 mm thick epoxy worktop 1200 mm wide(Black colour),LAYER,"1361,2509","0.4,0.05","1,2"
280,19EPX150,19mm thick epoxy worktop 1500mm wide(Black colour),BLOCK,"1361,2509","0.5,0.05","1,2"
180,19EPX60,19mm thick epoxy worktop 600mm wide(Black colour),BLOCK,"3066,1395,2509","0.2,0.15,0.05","1,2,3"
2999,19EPX60BS,19mm thick epoxy worktop 600mm wide with back splash(Black colour),BLOCK,"3066,1395,2509","0.2,0.15,0.05","1,2,3"
181,19EPX75,19mm thick epoxyworktop 750mm wide(Black colour),BLOCK,"1361,1395,2509","0.25,0.15,0.05","1,2,3"
3001,19EPX75BS,19mm thick epoxyworktop 750mm wide with back splash(Black colour),BLOCK,"1361,1395,2509","0.25,0.15,0.05","1,2,3"
601,19EPX90,19mm thick epoxy worktop 900 mm wide(Black colour),BLOCK,"3066,1395,2509","0.25,0.15,0.05","1,2,3"
4246,19EPX90BS,19mm thick epoxy worktop 900 mm wide with back splash(Black colour),LAYER,"3066,1395,2509","0.25,0.15,0.05","1,2,3"
2520,19EPXCOR60,19mm thick epoxy corner worktop(Black colour),BLOCK,"1361,1395,2509","0.5,0.3,0.05","1,2,3"
2521,19EPXCOR75,19mm thick epoxy corner worktop(Black colour),BLOCK,"1361,1395,2509","0.6,0.3,0.0575","1,2,3"
2522,19EPXCOR90,19mm thick epoxy corner worktop(Black colour),BLOCK,"3066,1395,2509","0.7,0.3,0.65","1,2,3"
3610,19EPXOCT150-150,19 mm thick epoxy octagonal worktop 1500 mm wide(Black colour),BLOCK,1361,0.5,1
694,20GRT80,20 (±1)mm thick granite worktop 800mm wide with backsplash,BLOCK,1363,8.76,1
3929,24MEL090SP,24mm thick melamine laminated worktop 900mm wide  special,BLOCK,"3677,754,762,757,1479,759","0.5,0,1,1.5,1.9,0.01","1,2,3,4,5,6"
666,24MEL100,24mm thick melamine laminated plywood worktop 1000 mm wide,BLOCK,"752,754,762,757,1479,759","0.5,0.5,1,1.5,2,0.01","1,2,3,4,5,6"
3668,24MEL100BS,24mm thick melamine laminated plywood worktop 1000 mm wide,BLOCK,"752,754,762,757,1479,759","0.5,0.5,1,1.5,2,0.01","1,2,3,4,5,6"
3930,24MEL100SP,24mm thick melamine laminated worktop 1000mm wide  special,BLOCK,"752,754,762,757,1479,759","0.5,0.5,1,1.5,1.9,0.01","1,2,3,4,5,6"
979,24MEL120,24 mm thick melamine laminated plywood worktop 1200 mm wide,BLOCK,"752,754,3238,757,1479,759","0.5,0.5,1,1.5,2,0.01","1,2,3,4,5,6"
3931,24MEL120SP,24mm thick melamine laminated worktop 1200mm wide  special,BLOCK,"752,754,762,757,1479,759","0.5,0.5,1,1.5,1.9,0.01","1,2,3,4,5,6"
2888,24MEL150,24 mm thick melamine laminated plywood worktop with 1500 mm wide,BLOCK,"752,754,762,757,1479,759","0.9,0.9,1.8,2.7,2.5,0.01","1,2,3,4,5,6"
3595,24MEL30,24mm thick melamine laminated plywood worktop 300mm wide,BLOCK,"752,754,1395,757,1479,759,3238","0.1,0.1,0.5,0.75,2.2,0.01,0.21","1,2,3,4,5,6,7"
3694,24MEL40,24mm thick melamine laminated plywood worktop 400mm wide,BLOCK,"752,754,761,757,1479,759","0.2,0.2,0.5,1.5,2.85,0.01","1,2,3,4,5,6"
3665,24MEL40BS,24mm thick melamine laminated plywood worktop 400mm wide with back splash,BLOCK,"752,754,761,757,1479,759","0.2,0.2,0.5,1.5,2.85,0.01","1,2,3,4,5,6"
3548,24MEL45,24mm thick melamine laminated plywood worktop 450mm wide,BLOCK,"752,754,761,757,1479,759","0.2,0.2,0.5,1.5,2.85,0.01","1,2,3,4,5,6"
3461,24MEL45BS,24mm thick melamine laminated plywood worktop 450mm wide with back splash,BLOCK,"752,754,761,757,1479,759","0.2,0.2,0.5,1.5,2.85,0.01","1,2,3,4,5,6"
3566,24MEL60,24mm thick melamine laminated plywood worktop 600mm wide,BLOCK,"752,754,1395,757,1479,759,3238","0.21,0.21,0.5,0.75,2.2,0.01,0.42","1,2,3,4,5,6,7"
3673,24MEL60BS,24mm thick melamine laminated plywood worktop 600mm wide with back splash,BLOCK,"752,754,1395,757,1479,759","0.25,0.25,0.5,0.75,2.7,0.01","1,2,3,4,5,6"
183,24MEL70,24mm thick melamine laminated plywood worktop 700mm wide,BLOCK,"752,754,1395,757,1479,759","0.25,0.25,0.5,0.75,2.7,0.01","1,2,3,4,5,6"
3391,24MEL70BS,24mm thick melamine laminated plywood worktop 700mm wide with back splash,BLOCK,"752,754,1395,757,1479,759","0.25,0.25,0.5,0.75,2.7,0.01","1,2,3,4,5,6"
