500,BLOCK,13mm thick compact laminate worktop 750mm wide,13COM75,,,,0.033,W,0.029,0.85,rm,AU,1,1,0,0,1,1,"760,1395","0.42,0.15","1,2",14729,0,0,3,NULL,1,NULL,0,0,0,0,0,178
3403,BLOCK,13mm thick compact laminate worktop 750mm wide with back splash,13COM75BS,,,,0.033,W,0.029,0.85,rm,AU,1,1,0,0,1,1,"760,1395","0.42,0.15","1,2",15485,0,0,3,NULL,1,NULL,0,0,0,0,0,189
501,BLOCK,13mm thick compact laminate worktop 800mm wide,13COM80,,,,0.033,W,0.031,0.9,rm,AU,1,1,0,0,1,1,"760,1395","0.42,0.15","1,2",14729,0,0,3,NULL,1,NULL,0,0,0,0,0,182
3404,BLOCK,13mm thick compact laminate worktop 800mm wide with back splash,13COM80BS,,,,0.033,W,0.031,0.9,rm,AU,1,1,0,0,1,1,"760,1395","0.42,0.15","1,2",15485,0,0,3,NULL,1,NULL,0,0,0,0,0,193
1934,BLOCK,13 mm compact laminate worktop 900 mm wide,13COM90,,,,0.033,,0.034,1,rm,,1,0,,0,2,1,"760,1395","0.42,0.15","1,2",15063,0,0,3,NULL,1,NULL,,,,,,186
3405,BLOCK,13 mm compact laminate worktop 900 mm wide withbackplash,13COM90BS,,,,0.033,,0.034,1,rm,,1,0,,0,2,1,"760,1395","0.42,0.15","1,2",15819,0,0,3,NULL,1,NULL,,,,,,197
3644,BLOCK,13mm thick compact laminate corner worktop 600mm wide,13COMCOR60,,,,,,,,no,,1,0,,0,2,0,,,,16629,0,0,3,NULL,1,NULL,,,,,,238
3643,BLOCK,13mm thick compact laminate corner worktop 600mm wide with back splash,13COMCOR60BS,,,,,,,,no,,1,0,,0,2,0,,,,18879,0,0,3,NULL,1,NULL,,,,,,260
3642,BLOCK,13mm thick compact laminate corner worktop 750mm wide,13COMCOR75,,,,,,,,no,,1,0,,0,2,0,,,,19539,0,0,3,NULL,1,NULL,,,,,,279
3641,BLOCK,13mm thick compact laminate corner worktop 750mm wide with back splash,13COMCOR75BS,,,,,,,,no,,1,0,,0,2,0,,,,22127,0,0,3,NULL,1,NULL,,,,,,304
